"","plant_sp","site","year","week_num","block","species","common.NAme","tot_flw","avg_flor_area","tot_flor_area","avg_tall_flw","per_tar_cov","avg_fw","bloom_prd","chroma","hue","categorical","pol.unit","nectar"
"61","ACMI2","NWMHRC",2015,29,3,"Achillea millefolium","Yarrow",8232,22.5242,3153.388,77,"85",0.58,"early",0.052181962,62.0527516,"white",188.48,0
"62","ACMI2","CRC",2016,28,4,"Achillea millefolium","Yarrow",12120.8,22.52,2454.68,84,"75",0.48,"early",0.052181962,62.0527516,"white",188.48,0
"63","ACMI2","NWMHRC",2015,28,1,"Achillea millefolium","Yarrow",4495,22.5242,698.2502,65,"65",0.58,"early",0.052181962,62.0527516,"white",188.48,0
"64","ACMI2","SWMREC",2016,25,2,"Achillea millefolium","Yarrow",11277,22.52,1418.76,51,"70",0.44,"early",0.052181962,62.0527516,"white",188.48,0
"65","ACMI2","SWMREC",2015,25,1,"Achillea millefolium","Yarrow",8576,22.5242,1441.5488,74.5,"80",0.44,"early",0.052181962,62.0527516,"white",188.48,0
"66","ACMI2","CRC",2016,27,2,"Achillea millefolium","Yarrow",849.6,22.52,405.36,57,"25",0.48,"early",0.052181962,62.0527516,"white",188.48,0
"67","ACMI2","SWMREC",2016,27,3,"Achillea millefolium","Yarrow",13385.8,22.52,2860.04,74,"85",0.44,"early",0.052181962,62.0527516,"white",188.48,0
"68","ACMI2","SWMREC",2016,27,2,"Achillea millefolium","Yarrow",9169.8,22.52,1959.24,52.5,"70",0.44,"early",0.052181962,62.0527516,"white",188.48,0
"69","ACMI2","SWMREC",2016,26,2,"Achillea millefolium","Yarrow",14275.8,22.52,1418.76,53,"90",0.44,"early",0.052181962,62.0527516,"white",188.48,0
"70","ASSY","NWMHRC",2016,28,4,"Asclepias syriaca","Common Milkweed",964.8,1.0164,980.62272,93,"50",0.78,"early",0.153022485,10.908157,"pink",2.84,7.732421875
"71","ASSY","CRC",2016,27,2,"Asclepias syriaca","Common Milkweed",1058.4,1.0164,1075.75776,112,"85",0.72,"early",0.153022485,10.908157,"pink",2.84,7.732421875
