site,year,plant_sp,record_id,specimen_id,date,week_num,SP,block,order,family,genus,species,bp
CRC,2015,CESTM,1507,SARE_1507,8/11/15,33,1,1,Hymenoptera,Halictidae,Lasioglossum,versatum,late
CRC,2015,CESTM,1555,SARE_1555,8/11/15,33,1,4,Hymenoptera,Halictidae,Lasioglossum,leucozonium,late
CRC,2015,CESTM,1506,SARE_1506,8/11/15,33,1,1,Hymenoptera,Halictidae,Lasioglossum,leucozonium,late
CRC,2015,CESTM,1554,SARE_1554,8/11/15,33,1,4,Hymenoptera,Halictidae,Lasioglossum,pilosum,late
CRC,2015,CESTM,2393,SARE_2393,8/28/15,35,2,4,Hymenoptera,Apidae,Ceratina,mikmaqi,late
CRC,2015,CESTM,1584,SARE_1584,8/11/15,33,1,3,Hymenoptera,Halictidae,Lasioglossum,leucozonium,late
CRC,2015,CESTM,1556,SARE_1556,8/11/15,33,1,4,Hymenoptera,Halictidae,Lasioglossum,leucozonium,late
CRC,2015,CESTM,1726,SARE_1726,8/11/15,33,2,1,Hymenoptera,Halictidae,Lasioglossum,paradmirandum,late
CRC,2015,CESTM,2395,SARE_2395,8/28/15,35,2,4,Hymenoptera,Apidae,Ceratina,calcarata,late
CRC,2015,CESTM,1938,SARE_1938,8/17/15,34,2,3,Hymenoptera,Halictidae,Lasioglossum,leucozonium,late
CRC,2015,CESTM,1825,SARE_1825,8/17/15,34,1,1,Hymenoptera,Apidae,Bombus,bimaculatus,late
CRC,2015,CESTM,1855,SARE_1855,8/17/15,34,1,2,Hymenoptera,Halictidae,Lasioglossum,paradmirandum,late
CRC,2015,CESTM,1585,SARE_1585,8/11/15,33,1,3,Hymenoptera,Apidae,Bombus,bimaculatus,late
CRC,2015,CESTM,1887,SARE_1887,8/17/15,34,1,4,Hymenoptera,Halictidae,Lasioglossum,paradmirandum,late
CRC,2015,CESTM,2396,SARE_2396,8/28/15,35,2,4,Hymenoptera,Halictidae,Lasioglossum,leucozonium,late
CRC,2015,CESTM,1510,SARE_1510,8/11/15,33,1,1,Hymenoptera,Halictidae,Lasioglossum,hitchensi ,late
CRC,2015,CESTM,1595,SARE_1595,8/11/15,33,2,3,Hymenoptera,Apidae,Ceratina,dupla,late
CRC,2015,CESTM,1505,SARE_1505,8/11/15,33,1,1,Hymenoptera,Megachilidae,Megachile,brevis,late
CRC,2015,CESTM,1504,SARE_1504,8/11/15,33,1,1,Hymenoptera,Halictidae,Halictus,ligatus,late
CRC,2015,CESTM,1889,SARE_1889,8/17/15,34,1,4,Hymenoptera,Halictidae,Lasioglossum,paradmirandum,late
CRC,2015,CESTM,1895,SARE_1895,8/17/15,34,2,4,Hymenoptera,Apidae,Bombus,fervidus,late
CRC,2015,CESTM,1586,SARE_1586,8/11/15,33,1,3,Hymenoptera,Halictidae,Lasioglossum,hitchensi ,late
CRC,2015,CESTM,1615,SARE_1615,8/11/15,33,2,2,Hymenoptera,Halictidae,Lasioglossum,leucozonium,late
CRC,2015,CESTM,1622,SARE_1622,8/11/15,33,2,4,Hymenoptera,Halictidae,Lasioglossum,leucozonium,late
CRC,2015,CESTM,1618,SARE_1618,8/11/15,33,2,2,Hymenoptera,Halictidae,Lasioglossum,imitatum,late
CRC,2015,CESTM,1616,SARE_1616,8/11/15,33,2,2,Hymenoptera,Halictidae,Lasioglossum,hitchensi ,late
CRC,2015,CESTM,1511,SARE_1511,8/11/15,33,1,1,Hymenoptera,Halictidae,Lasioglossum,paradmirandum,late
CRC,2015,CESTM,1888,SARE_1888,8/17/15,34,1,4,Hymenoptera,Halictidae,Lasioglossum,paradmirandum,late
CRC,2015,CESTM,2417,SARE_2417,8/28/15,35,2,2,Hymenoptera,Halictidae,Lasioglossum,hitchensi ,late
CRC,2015,CESTM,1725,SARE_1725,8/11/15,33,2,1,Hymenoptera,Halictidae,Lasioglossum,leucozonium,late
CRC,2015,CESTM,1904,SARE_1904,8/17/15,34,2,2,Hymenoptera,Halictidae,Lasioglossum,leucozonium,late
CRC,2015,CESTM,2414,SARE_2414,8/28/15,35,2,2,Hymenoptera,Halictidae,Lasioglossum,leucozonium,late
CRC,2015,CESTM,1897,SARE_1897,8/17/15,34,2,4,Hymenoptera,Halictidae,Lasioglossum,hitchensi ,late
CRC,2015,CESTM,1558,SARE_1558,8/11/15,33,1,4,Hymenoptera,Halictidae,Lasioglossum,hitchensi ,late
CRC,2015,CESTM,1856,SARE_1856,8/17/15,34,1,2,Hymenoptera,Halictidae,Lasioglossum,imitatum,late
CRC,2015,CESTM,1617,SARE_1617,8/11/15,33,2,2,Hymenoptera,Halictidae,Lasioglossum,pectorale,late
CRC,2015,CESTM,1509,SARE_1509,8/11/15,33,1,1,Hymenoptera,Halictidae,Lasioglossum,hitchensi ,late
CRC,2015,CESTM,1723,SARE_1723,8/11/15,33,2,1,Hymenoptera,Apidae,Bombus,impatiens,late
CRC,2015,CESTM,1905,SARE_1905,8/17/15,34,2,2,Hymenoptera,Halictidae,Lasioglossum,leucozonium,late
CRC,2015,CESTM,2391,SARE_2391,8/28/15,35,1,1,Hymenoptera,Apidae,Bombus,impatiens,late
CRC,2015,CESTM,2415,SARE_2415,8/28/15,35,2,2,Hymenoptera,Halictidae,Lasioglossum,leucozonium,late
CRC,2015,CESTM,2416,SARE_2416,8/28/15,35,2,2,Hymenoptera,Halictidae,Lasioglossum,hitchensi ,late
CRC,2015,CESTM,1894,SARE_1894,8/17/15,34,2,4,Hymenoptera,Apidae,Bombus,impatiens,late
CRC,2015,CESTM,1613,SARE_1613,8/11/15,33,2,2,Hymenoptera,Apidae,Bombus,vagans,late
CRC,2015,CESTM,2419,SARE_2419,8/28/15,35,2,1,Hymenoptera,Halictidae,Lasioglossum,leucozonium,late
CRC,2015,CESTM,1724,SARE_1724,8/11/15,33,2,1,Hymenoptera,Apidae,Ceratina,dupla,late
CRC,2015,CESTM,1455,SARE_1455,8/11/15,33,1,2,Hymenoptera,Halictidae,Lasioglossum,paradmirandum,late
CRC,2015,CESTM,1898,SARE_1898,8/17/15,34,2,4,Hymenoptera,Apidae,Ceratina,dupla,late
CRC,2015,CESTM,1620,SARE_1620,8/11/15,33,2,4,Hymenoptera,Halictidae,Halictus,ligatus,late
CRC,2015,CESTM,1623,SARE_1623,8/11/15,33,2,4,Hymenoptera,Halictidae,Lasioglossum,hitchensi ,late
CRC,2015,CESTM,1596,SARE_1596,8/11/15,33,2,3,Hymenoptera,Halictidae,Lasioglossum,leucozonium,late
CRC,2015,CESTM,1619,SARE_1619,8/11/15,33,2,4,Hymenoptera,Halictidae,Halictus,ligatus,late
CRC,2015,CESTM,1557,SARE_1557,8/11/15,33,1,4,Hymenoptera,Halictidae,Halictus,ligatus,late
CRC,2015,CESTM,1561,SARE_1561,8/11/15,33,1,4,Hymenoptera,Halictidae,Lasioglossum,paradmirandum,late
CRC,2015,CESTM,1722,SARE_1722,8/11/15,33,2,1,Hymenoptera,Apidae,Bombus,impatiens,late
CRC,2015,CESTM,1621,SARE_1621,8/11/15,33,2,4,Hymenoptera,Apidae,Ceratina,dupla,late
CRC,2015,CESTM,1899,SARE_1899,8/17/15,34,2,4,Hymenoptera,Halictidae,Lasioglossum,leucozonium,late
CRC,2015,CESTM,1903,SARE_1903,8/17/15,34,2,2,Hymenoptera,Apidae,Ceratina,mikmaqi,late
CRC,2015,CESTM,1902,SARE_1902,8/17/15,34,2,2,Hymenoptera,Halictidae,Lasioglossum,leucozonium,late
CRC,2015,CESTM,2394,SARE_2394,8/28/15,35,2,4,Hymenoptera,Halictidae,Lasioglossum,leucozonium,late
CRC,2015,CESTM,1923,SARE_1923,8/17/15,34,2,1,Hymenoptera,Halictidae,Lasioglossum,paradmirandum,late
CRC,2015,CESTM,1922,SARE_1922,8/17/15,34,2,1,Hymenoptera,Halictidae,Lasioglossum,leucozonium,late
CRC,2015,CESTM,1906,SARE_1906,8/17/15,34,2,2,Hymenoptera,Halictidae,Lasioglossum,paradmirandum,late
CRC,2015,CESTM,2418,SARE_2418,8/28/15,35,2,1,Hymenoptera,Apidae,Ceratina,mikmaqi,late
CRC,2015,CESTM,1559,SARE_1559,8/11/15,33,1,4,Hymenoptera,Halictidae,Lasioglossum,tegulare,late
CRC,2015,CESTM,1900,SARE_1900,8/17/15,34,2,4,Hymenoptera,Halictidae,Lasioglossum,leucozonium,late
